job_description_length,benefits_score,salary_usd
535,6.5,58343
710,7.8,98072
621,7.8,58209
1759,8.1,101880
1503,7.7,119812
619,9.1,184524
1929,6.0,212494
678,9.8,83942
2111,7.5,92507
738,8.3,71494
2280,8.2,89952
618,9.2,74909
1194,8.2,121133
1987,7.2,106190
1868,5.7,261845
611,9.0,104354
1075,6.2,86549
2029,5.2,170055
1790,7.0,92633
856,8.0,108025
771,7.4,231357
895,7.1,75714
1480,9.2,48731
1567,7.5,63620
1302,6.2,146711
1010,9.5,217093
814,6.7,158838
2355,8.1,26471
1188,9.6,52315
1078,6.3,155395
738,8.7,103774
1491,6.7,116286
751,9.7,75877
1225,9.9,73643
1635,7.6,252203
2064,7.6,82912
1068,5.4,152624
945,8.8,87630
930,9.0,234953
1534,9.8,121264
638,7.6,158964
1557,7.0,73586
827,7.0,230512
1710,5.3,125009
1868,9.6,262701
1674,8.3,266606
2368,5.3,140178
1818,5.9,187857
691,9.8,42710
2405,7.6,84841
1005,8.3,74980
1656,6.9,84006
1377,9.3,174420
1260,8.7,243382
698,9.4,72001
2490,8.9,349094
1383,7.4,135760
1050,5.7,127359
2013,6.9,97760
1785,9.8,217718
650,6.7,129149
783,5.4,66925
1440,9.8,87198
874,9.3,94601
1749,5.9,51043
1581,10.0,88860
1553,5.8,91219
1484,7.7,23010
1320,5.7,84775
2292,8.2,182231
552,8.7,76682
700,9.8,103728
829,6.3,108739
880,6.2,127790
529,9.4,113774
1170,6.1,119989
1521,9.3,75024
508,5.4,67687
1535,6.8,82087
2073,8.0,240800
1646,6.7,76214
2304,5.3,259438
2187,8.1,245492
1976,9.7,102823
1313,7.1,283410
2371,8.9,208241
936,7.4,105274
651,6.1,94841
2088,6.8,114463
835,6.0,158187
1425,5.5,45177
1232,8.4,147403
2330,8.9,103578
1856,7.4,90139
1252,7.4,140051
1765,8.2,55899
2130,8.5,228939
1773,5.1,169575
1856,7.4,92434
2385,7.6,45214
868,8.1,125545
1313,5.4,63222
834,9.1,90458
1479,8.4,53532
618,8.8,111068
1572,6.7,51281
1694,7.8,70333
1355,7.9,113289
1293,8.0,76340
884,5.7,83602
1825,7.2,140958
1126,7.2,224243
2303,6.3,182443
1533,6.7,116360
1282,6.6,59186
883,7.7,230221
1427,6.4,249223
1122,8.8,170776
1271,9.4,76117
684,5.5,65226
2458,8.8,63087
1106,9.3,44772
1045,8.5,204283
1175,6.8,114299
1175,6.8,298889
2014,8.1,71400
739,6.0,69118
2068,9.5,47701
1879,7.3,162815
506,7.9,136275
675,6.2,77774
1886,9.8,151655
834,7.5,147631
2429,8.4,44181
1434,6.0,92006
1885,6.2,104944
1601,5.1,261580
1624,8.3,32682
1897,8.6,46243
1014,8.8,51801
1544,7.4,110654
1021,6.9,123362
960,7.7,66961
597,9.4,96935
1511,5.4,165702
2061,7.0,102570
716,5.4,31054
2254,5.5,26978
582,9.2,45155
1520,9.1,84059
2158,9.9,66866
568,8.4,56427
958,7.4,91432
1430,6.9,117486
538,9.7,85568
991,7.7,308132
1556,7.2,262758
1245,8.3,61958
2110,5.1,116493
783,5.7,174253
1741,7.8,133772
1829,6.4,183867
842,6.9,100550
1946,6.3,209570
695,6.1,27770
1250,8.2,239820
1443,8.8,90202
1996,7.4,47313
1649,7.8,57899
692,7.4,181110
1310,8.1,81776
1415,5.4,144619
772,6.7,79986
2024,5.8,70655
1802,6.1,250855
1299,7.3,91522
932,8.3,124095
1571,6.4,84282
896,8.1,163240
2288,7.5,168185
1812,9.9,116627
602,7.0,101270
818,9.8,65343
1997,8.8,137416
1672,9.7,295909
1730,9.3,143218
2389,5.4,190216
1213,5.7,151114
2177,5.8,77870
2439,8.5,49183
2048,5.3,62143
2113,8.3,121259
2034,7.3,128628
1666,9.7,115473
1708,9.6,238600
1928,6.4,113103
1964,6.3,47429
780,9.2,274181
2398,8.9,139553
2148,5.2,83557
2101,8.2,211357
1248,7.2,181722
2482,5.8,137403
666,7.8,65926
1004,9.7,63867
1181,7.4,73754
722,9.7,100588
1676,7.2,215335
680,7.3,96892
875,8.7,203281
1288,5.0,128930
1581,5.1,59295
1196,7.9,149462
2156,8.0,134389
2144,8.6,77125
1210,8.5,177796
628,9.4,146724
2072,7.8,170330
1679,9.2,79412
1981,6.4,124306
1560,9.9,119037
869,9.0,222977
1317,8.4,136646
2244,6.5,192004
1890,6.6,270814
723,7.7,125599
1608,7.2,102825
1310,6.8,233678
644,9.9,92649
765,7.0,102702
1094,5.1,220138
1527,10.0,102269
2219,9.6,164789
2137,8.6,37291
2235,5.7,112266
2022,5.7,67601
1079,9.9,265839
961,9.6,127393
1366,7.0,79956
642,6.3,64844
1055,5.4,255126
2002,6.9,55235
759,6.3,179903
713,7.9,99326
863,9.6,36397
2352,9.4,55499
1738,6.4,32595
2080,6.7,257447
957,7.2,92838
2471,7.1,90741
839,6.4,76319
1743,8.4,210418
512,5.2,196045
1530,5.3,135969
2102,7.5,48643
2098,7.9,78066
1351,6.1,41677
1406,9.7,93162
1017,6.0,64788
1369,7.8,154205
557,6.2,143701
1603,6.2,164876
736,9.4,35464
624,5.5,59626
2437,9.6,307432
2082,9.2,176090
1664,9.8,66682
550,8.0,39616
2351,8.2,122403
1081,6.4,130431
524,6.7,91342
1698,7.9,34743
1131,6.5,75941
2231,9.6,53406
1120,9.3,280999
1183,8.0,211482
1142,5.9,188072
2251,6.3,89391
1254,6.3,172617
616,6.1,247125
1313,8.6,58586
1143,8.9,66857
1334,6.9,61082
1826,9.1,109973
1199,8.5,96154
1683,7.5,80737
1572,5.4,60211
1002,8.5,77885
2355,6.5,91640
1786,9.9,136201
844,7.7,100307
1281,7.9,71821
1168,8.5,92325
2118,6.3,128402
1653,8.1,49741
1625,6.0,189605
966,7.7,91412
1367,9.8,214536
2332,5.1,93353
783,5.4,119157
2100,5.6,262609
1195,9.8,69585
1022,6.9,74761
2224,6.5,162450
776,9.7,88851
1399,6.3,91547
1995,8.1,58081
1275,5.0,103246
804,5.2,32356
602,7.5,48264
1057,7.8,66275
1985,8.4,177406
1842,9.1,68779
1043,5.9,93037
951,6.9,90694
2052,7.2,197861
2382,9.7,68932
886,9.7,83285
1896,9.2,161470
1133,9.3,101298
1689,8.7,98441
1555,8.7,142540
2038,9.2,141976
503,5.1,56123
2014,7.3,93288
2364,8.4,111008
2155,7.7,188040
2351,8.9,37867
1006,5.4,130573
1947,9.8,84549
2233,5.3,115767
1422,9.4,229034
1971,6.5,128520
806,8.6,73935
859,5.3,113864
974,8.0,98526
1308,7.8,66726
835,7.6,88638
1664,9.8,93012
1459,9.1,78878
1488,6.3,82710
1613,6.1,29961
763,7.4,273589
1298,7.4,73518
1088,6.0,62379
1574,9.4,73138
852,8.5,308012
2425,8.7,72475
2495,7.8,71202
2376,7.5,178194
1504,7.4,26837
1089,6.5,97019
822,7.4,118655
2331,5.4,84059
1170,8.7,205243
818,8.8,65453
996,6.4,103929
1521,6.7,83770
2237,5.2,71511
1231,6.9,86602
665,6.8,57477
595,6.6,104741
1875,5.9,257714
2375,6.8,67170
808,7.1,145681
1534,5.3,118285
638,8.6,151221
825,8.7,97110
590,5.7,142010
2002,9.2,221988
1843,6.9,171046
2459,8.3,71257
2367,6.1,109428
1179,7.6,221626
1518,5.1,189458
1920,5.4,200620
809,7.8,205234
673,9.4,247132
1847,7.1,97358
1629,9.0,57152
1220,7.7,103950
820,9.9,112737
2037,9.0,81647
1331,6.4,80194
677,8.8,50217
2106,5.2,242187
640,8.4,140261
1207,9.0,92105
1651,9.9,123667
1663,6.5,93495
1244,6.3,164403
1141,8.1,161726
2277,5.7,65395
1351,5.6,163112
1014,5.1,120372
2374,7.3,80130
733,6.5,69483
572,9.9,275292
1158,7.8,90173
2463,9.8,115690
838,5.6,52110
2440,8.9,163804
2247,8.2,173688
2027,7.7,244135
959,7.9,177041
1787,8.8,113070
2339,5.2,34381
1482,5.7,102804
867,7.6,124994
2390,8.8,48674
920,5.2,83060
1090,9.4,116877
2239,5.7,49966
590,6.4,109823
1914,7.8,89964
501,5.5,99897
1799,5.3,112037
1520,9.7,97555
705,8.4,51067
652,8.5,74645
1485,8.2,73008
1097,9.2,31006
1325,6.1,101583
1414,6.5,90261
1256,6.6,111512
1857,8.1,135059
953,9.3,188799
573,7.0,133225
1043,5.6,60400
2321,5.9,114422
2265,5.8,85322
640,7.8,64462
708,8.6,214640
1966,6.4,160700
1103,9.5,114986
1719,5.4,160285
2153,5.3,184764
2054,7.7,168868
1905,8.8,59852
610,6.6,127118
1071,9.3,62015
2274,6.7,70434
2244,7.6,102013
651,8.0,178561
1653,6.8,63698
2200,6.0,70117
923,5.9,125886
1811,8.7,143263
2423,8.6,61495
891,8.9,275523
1617,6.2,65593
1610,9.9,63298
2016,8.4,70299
2364,8.0,202655
1154,8.7,256495
1062,8.9,84934
1342,9.7,83381
2348,6.2,26293
1472,7.1,114838
1640,8.3,130423
1395,9.4,73362
1702,7.3,55846
2275,8.4,216173
957,8.4,184151
1174,8.0,109524
2307,6.7,83789
1992,7.7,163508
888,8.1,159674
598,9.8,72337
1693,8.2,168105
2041,8.3,157793
1184,5.4,186928
1143,6.9,97344
539,9.7,47190
1319,6.8,64670
2017,9.8,126076
2422,9.0,98433
1804,9.6,31915
1903,9.8,175657
885,5.0,200463
811,6.7,109629
1963,6.2,80126
2134,6.2,91862
864,6.5,102655
983,7.4,147186
645,6.8,184149
892,6.2,273048
845,5.2,105192
1756,6.8,37406
570,8.8,27619
2257,5.4,94921
2222,9.8,199186
1950,7.6,118265
826,9.8,75240
2302,6.3,65569
1888,7.3,205247
1159,6.2,37999
939,6.6,136750
2469,7.1,55482
1369,5.4,126580
733,7.2,45523
1948,9.6,69117
1786,8.8,147154
2001,7.2,129411
1363,7.2,103365
2452,7.1,155656
1363,7.7,60372
655,8.9,90624
1826,10.0,28839
705,5.3,95397
1345,5.6,265922
713,8.8,123952
1715,9.0,243390
1947,8.7,86886
1713,6.3,86470
1015,6.2,128696
1400,5.5,108456
2189,6.4,114242
540,9.2,94224
770,9.7,277483
795,6.8,40704
2049,7.8,93238
1947,7.5,196588
2326,6.6,90440
762,6.4,150604
730,6.3,58876
901,9.2,28266
2027,6.0,83652
1302,7.8,69368
1038,5.4,130656
2246,7.9,168459
882,6.4,72394
897,5.7,37641
2222,6.1,109311
728,7.3,237727
612,10.0,138467
2098,8.1,125705
1589,5.9,107784
1906,9.6,49527
1183,10.0,73779
2175,5.9,98422
1821,6.7,110310
2422,6.3,167443
2274,9.6,135296
1477,9.0,101322
2214,5.5,81204
2366,6.3,216778
1015,5.7,176928
2390,9.1,76676
720,8.7,167099
1286,6.0,89898
1632,8.0,123146
1215,8.8,244148
689,9.1,212784
2094,7.6,206443
1744,9.3,55944
1567,8.5,71392
1506,7.2,126751
599,9.6,99185
909,8.7,218350
1195,9.5,123624
1118,6.4,150816
1640,6.0,248052
1050,8.7,174068
1755,6.6,202119
2424,5.9,52293
853,7.6,127194
1070,8.6,133885
2452,8.7,134073
824,5.1,128939
1393,7.4,65196
1118,6.5,122554
1205,8.6,72995
842,8.7,36919
999,7.6,111161
679,8.0,226559
653,7.3,194134
2251,8.2,48340
990,8.9,93478
974,5.4,135053
2213,8.3,118702
1274,7.5,66189
2462,9.3,135922
2021,5.8,220929
1930,7.3,82829
533,5.1,91897
2239,9.6,120965
1771,6.4,310818
1254,6.4,73677
2491,7.6,71156
1541,7.4,190140
901,6.0,133027
2085,5.0,232210
2364,6.0,113916
1965,7.8,228576
1692,9.1,25011
1241,9.1,139200
824,7.0,292522
1309,9.8,159257
1421,5.9,108189
1584,7.4,112943
2384,6.8,101976
700,6.6,90165
1393,7.2,179183
2288,5.5,113638
902,7.7,50907
2217,7.5,167654
2403,8.9,119056
1927,7.1,95121
1694,5.8,111821
684,6.5,183873
2363,9.0,247623
1299,5.4,70419
2216,8.2,80822
1703,9.0,116798
1687,5.4,32773
951,9.7,153325
2137,6.9,139637
630,7.4,228479
1371,9.8,213432
1954,8.0,120417
2040,8.6,128062
1390,7.1,152788
816,8.9,151742
2078,7.3,127281
1351,6.2,95779
2062,9.4,127704
564,8.0,119308
2105,6.6,62680
1144,8.1,272438
1675,7.0,174329
2203,5.6,46653
1771,6.1,173890
817,9.6,338945
863,5.1,140480
832,6.9,92646
875,8.9,54404
1712,8.2,113043
1732,8.4,159400
1498,8.8,31170
1635,8.9,108438
970,9.0,111346
1483,5.9,223449
1822,9.4,48324
1526,6.5,66696
883,8.6,210386
1110,8.0,48698
526,5.1,60193
1052,7.3,60740
1491,5.2,118920
1336,6.9,87000
1610,8.8,204824
1333,9.5,87194
2132,9.0,232255
1136,7.7,101827
1309,8.9,240245
1628,8.3,167576
1236,8.7,215103
2049,6.2,48369
1927,5.1,133879
1764,5.4,28565
844,9.1,159550
1044,6.9,78403
2334,9.2,87867
2472,5.1,116358
1969,5.8,198454
1755,8.6,118657
750,8.2,86457
1017,7.0,52898
615,5.5,25159
1446,8.5,67708
1796,5.7,214023
843,8.1,110880
1103,6.9,49214
903,6.8,65197
1260,6.6,94494
1422,7.3,93560
1621,6.0,65918
1271,7.8,136380
1115,9.4,58677
792,8.9,78838
1052,9.8,269456
1296,8.8,134951
2034,8.9,71037
2320,9.0,81347
1427,9.3,42928
1603,5.4,133466
1983,5.9,199990
502,6.8,146195
1249,6.0,98140
1183,9.1,37739
1482,9.2,76141
924,6.0,168289
1527,5.1,35309
1165,5.5,252143
1789,9.3,61954
797,6.1,128736
2227,5.1,90524
2447,7.1,164213
1267,7.2,106152
1113,8.1,101811
594,9.8,130689
1997,6.2,134597
804,9.3,127982
590,5.2,76846
1356,7.4,121507
789,8.4,190021
2431,9.9,146680
1485,9.8,82088
1720,8.7,142953
1111,6.5,178787
1084,8.5,216277
985,8.3,94882
1425,8.3,73031
2292,7.0,126700
2231,7.4,95630
807,5.4,75175
619,9.7,83872
857,9.1,156742
2301,6.7,111290
1440,7.2,83694
1184,6.0,63711
929,7.7,108037
1044,7.1,151599
1096,6.1,113115
744,9.6,213162
1245,8.3,172013
580,8.6,81655
1274,9.2,70576
1890,6.0,27457
2279,8.3,115606
500,6.6,85378
1280,5.2,305455
2154,6.3,115424
757,6.1,73524
542,9.4,164239
2173,8.7,187030
1444,9.7,201791
2479,7.2,189693
765,9.1,65796
2206,8.8,50207
1171,5.2,90924
1791,5.0,66161
2322,9.5,166384
625,8.6,124008
1991,6.0,83812
1392,5.8,142427
1593,7.9,186900
835,9.8,129050
2406,6.4,274462
955,7.6,62465
1570,7.7,73182
1473,5.4,184437
1713,8.6,94373
1873,7.3,222341
804,5.6,54047
677,9.1,127771
548,7.2,93985
1988,5.5,66798
1894,5.5,155058
2398,5.6,280160
769,8.2,77244
1824,6.6,216834
2063,8.6,110485
537,5.1,43499
1978,9.5,266981
1314,7.2,126042
2026,8.8,173706
2388,5.6,75161
623,7.8,115030
2435,6.3,151796
617,9.7,59337
2309,9.8,84211
2077,9.9,121798
2155,7.2,198790
865,8.8,80590
2065,5.4,158320
928,8.1,28067
1964,8.2,221734
820,6.0,66023
1071,7.5,79053
2008,7.4,90414
1948,7.6,44966
846,9.2,135292
802,6.9,224798
750,6.9,169956
2434,5.6,218143
1709,8.0,123186
1857,8.9,69645
888,9.3,157091
1841,9.2,90830
2428,6.1,249590
1043,7.0,123791
2009,9.4,117223
2448,6.5,27366
1455,8.9,182032
669,5.8,31017
2352,7.5,148948
1310,8.9,126217
2387,9.4,85615
1525,10.0,224102
2297,9.8,67594
992,5.9,172931
1286,5.7,109233
2292,7.4,240499
1048,7.5,92133
1742,5.8,76049
656,6.3,272882
1855,9.2,60278
1447,6.5,232998
703,6.9,125478
1026,7.3,80666
1055,5.3,130187
1107,8.8,112669
1372,7.0,117310
2286,9.8,104436
2069,8.0,151858
1771,8.4,300122
1820,5.6,123704
2275,5.9,123407
1968,7.3,113350
1690,6.5,240944
1620,9.1,56468
1780,8.7,23467
1576,7.1,41589
2128,8.9,56436
2234,9.6,102052
939,6.5,140417
845,8.3,62079
1538,7.2,181941
891,6.7,48759
1544,6.4,94775
568,9.1,111479
1304,5.3,196602
2407,9.6,264173
1948,8.8,69502
1868,9.7,130004
699,8.5,225220
1526,5.2,96826
1637,5.2,56293
909,7.5,197669
967,5.1,129726
850,5.4,146815
2123,9.9,108448
579,5.1,56987
2369,9.7,109575
1601,6.6,61632
1979,7.7,86859
2379,5.0,93901
2250,6.8,78383
1396,9.6,105143
2416,7.3,113830
1015,6.6,104205
2006,9.8,76948
950,7.2,158361
1743,9.9,246286
1338,5.3,29444
1167,8.5,65572
1872,8.5,89996
634,8.1,251600
1174,7.8,97239
1354,7.7,117805
1879,9.1,124143
1443,8.8,119551
2181,8.3,122489
868,9.1,297922
1087,6.0,284790
2434,7.7,140500
899,6.3,116663
1312,8.2,136106
1026,5.1,120352
1678,9.8,115824
1136,9.2,192495
1939,5.9,70175
825,8.6,36741
1308,5.3,60568
1659,9.3,56833
1786,6.1,138563
1921,7.4,69031
1364,8.6,49258
1788,7.0,177507
1360,6.4,278819
1347,5.8,101827
2252,8.9,84062
2383,6.6,102646
1534,8.4,95477
518,5.9,46111
2239,8.7,97023
2110,8.2,220428
1258,6.3,111944
1910,6.5,186617
1215,7.1,161013
1135,8.8,30458
2116,9.5,64590
2410,8.2,113088
1068,7.3,110516
2143,9.2,33400
1817,6.1,57862
2297,8.5,111403
982,5.1,51736
2332,7.6,23717
1823,6.5,109386
2256,7.7,74878
1317,9.2,65141
2112,5.2,128867
601,7.2,90726
2424,5.2,194760
1395,7.6,107056
1796,9.7,108594
948,8.6,79163
2482,6.1,32589
1282,8.1,151184
1784,8.5,80519
1593,9.0,67798
2229,6.0,142055
2007,6.4,120576
2272,8.5,125509
2317,8.0,55931
1704,6.8,231123
1258,9.0,228322
1040,8.8,143444
1188,9.5,72811
1359,6.2,53482
2077,5.7,69221
2170,7.8,171506
1669,9.7,149279
1315,8.1,123862
2344,8.3,261986
1938,5.8,158894
2039,6.1,137974
1338,9.3,90760
858,8.8,137606
629,8.3,133207
2399,6.6,100495
2200,5.4,91306
2486,5.0,331986
610,8.0,75194
1881,5.9,89154
683,7.8,64299
1946,6.4,137294
795,8.7,101275
930,8.9,139984
2299,6.4,151316
796,5.6,84471
2366,6.3,104379
1983,8.7,252832
1999,9.6,214285
1403,7.7,100489
739,6.0,116902
2303,6.7,98004
869,6.0,216802
1662,8.8,97639
2160,6.0,112321
1151,9.4,192260
1361,8.9,109993
861,9.3,65943
1269,9.5,90867
1793,9.5,84856
1377,5.2,171549
1912,8.4,191772
565,7.3,111326
1493,7.1,180543
983,5.7,35560
1425,10.0,80024
1164,8.4,62790
727,5.8,172119
1107,6.8,144594
2005,9.1,59241
2009,6.8,114166
1525,8.4,32706
1364,8.8,120324
1616,8.4,59232
1739,5.6,221142
1412,7.8,48487
1094,5.0,145495
779,7.3,64092
2321,7.6,135974
1940,5.6,215605
849,9.8,109621
2489,7.7,155788
1482,6.2,114493
1199,8.5,127669
924,6.6,184048
1805,7.6,62821
1188,9.5,116061
2039,8.5,68069
1092,8.6,55034
1527,9.0,197089
1541,9.2,63965
1376,6.4,88359
748,9.0,58746
1420,5.2,84148
1030,6.4,106957
943,6.3,83304
1923,9.7,169228
916,9.4,87246
1746,7.6,71057
2412,8.8,197354
1531,9.0,128498
1088,5.3,186865
2074,9.8,107253
1291,9.5,63687
1511,6.0,79216
2362,8.9,231383
1455,8.7,43977
860,6.6,58328
976,7.8,26547
1325,7.0,55423
2055,9.3,24833
1672,8.7,110197
2318,9.2,72964
1707,8.4,59921
1841,8.8,56383
987,6.9,71225
1597,7.2,64188
2475,6.4,111850
2444,8.6,193873
1838,8.5,69980
1086,7.8,17744
1210,8.2,55353
2453,7.3,29786
1488,9.1,75425
2028,9.6,154886
1381,6.4,99073
2135,8.8,73454
2206,7.2,59838
2433,8.3,87537
1252,5.6,26899
809,5.6,89970
1411,6.9,135427
977,8.9,55414
2055,8.7,214757
1087,7.7,165695
697,5.4,88990
1970,6.7,74202
920,9.1,127421
595,6.2,278984
541,5.4,158896
1479,5.3,135260
1164,9.1,75021
1595,6.9,154992
1539,7.5,190121
849,5.5,385410
1296,7.4,100524
1616,9.1,277819
532,8.9,65703
1844,7.3,132522
1602,5.7,165364
1007,5.1,106407
2400,6.7,72285
1901,9.7,105498
915,7.7,93513
722,7.5,56370
750,9.7,111901
2174,6.3,250059
612,5.3,273161
1573,6.8,132189
1587,9.5,66589
1379,8.3,60676
2415,5.9,109570
1438,7.2,58052
1831,9.1,98945
2356,9.9,199637
1816,8.6,78109
1538,6.0,73974
832,5.2,134116
543,8.9,135851
697,6.5,142460
862,8.1,69316
1467,5.6,82158
824,9.4,167922
1172,5.8,142118
2434,7.6,215397
1111,5.5,294594
2384,10.0,63057
2330,9.6,217874
2354,7.7,32792
1459,6.0,116266
1600,5.3,70410
2164,8.6,56897
1556,7.9,135997
2213,6.0,50494
1779,5.1,144481
807,5.4,102340
557,7.2,289309
2341,6.6,86564
2141,7.9,105245
1386,8.8,135249
922,5.8,351014
1363,5.6,170313
2388,9.8,96839
1359,5.5,112039
538,8.7,161578
1837,6.3,162342
1532,5.1,81152
661,6.9,146791
671,6.5,231457
1809,9.5,114857
1258,9.7,73750
979,9.8,87162
1762,8.9,85264
1357,5.3,72355
2152,9.3,83615
2236,8.2,201139
656,9.3,227744
572,7.1,50231
941,9.2,149410
1900,6.3,322650
2390,6.1,138075
1832,8.5,70492
1102,7.1,50946
514,5.3,74567
1692,5.7,63683
1066,6.7,93281
573,6.2,86606
743,5.1,114314
724,5.7,44105
2006,7.2,87807
1627,7.3,105998
2211,8.5,205845
1358,9.2,108031
2059,6.4,43599
2245,9.9,100782
1257,7.4,124064
878,8.5,32020
2150,6.1,88815
1066,7.6,102567
1659,9.1,72234
697,6.5,284726
1806,5.2,103801
1067,6.5,211598
2120,8.9,65479
1684,9.0,55701
1418,9.8,265222
964,7.2,33734
850,7.1,69684
1167,9.2,96701
1194,8.5,180946
880,5.2,166915
1830,5.2,121685
1947,9.7,167790
1007,6.0,80516
1460,7.7,100310
817,7.2,120643
2194,5.9,68168
2100,6.4,103407
1235,7.0,79353
886,8.7,215826
1635,5.3,124330
1568,5.2,53595
1693,6.5,141469
739,8.0,115046
1372,8.8,147907
1905,9.3,50641
2265,6.3,214441
2050,9.9,114417
2449,9.3,112932
2062,9.8,72211
1155,7.2,182222
1822,5.2,83596
2002,8.6,109011
926,8.1,74573
1918,6.4,117158
1372,6.8,84442
1270,5.8,64765
1176,6.5,161364
789,10.0,259567
1330,9.8,58926
2425,7.3,205317
1439,7.0,142793
2439,8.5,48948
2361,7.2,101284
1817,8.7,94804
1539,8.1,55274
2123,7.8,46056
989,6.3,71471
832,5.8,173574
2368,8.5,228777
2119,5.6,218206
1487,9.7,218548
1017,5.8,137310
1367,9.6,112353
1455,9.8,217691
1499,9.1,82416
2037,5.3,271408
735,9.7,50767
1473,5.7,110614
1681,6.9,92141
871,5.6,48318
850,8.3,263753
991,8.7,273323
1843,6.9,62268
2006,9.9,116686
2476,8.5,129353
1950,7.8,267772
1615,7.1,59923
1354,9.1,75531
2117,9.2,71196
1074,9.0,88243
889,5.6,105621
1266,6.2,98658
1512,7.6,61301
1985,10.0,170872
1313,8.6,56083
1598,6.3,71351
2368,6.9,131806
1437,7.8,85952
1797,9.6,177858
874,6.1,210574
1945,5.2,96894
1831,7.4,137829
517,8.0,99906
2449,5.3,78189
1106,8.1,221259
531,7.0,69907
1045,8.9,114573
1669,9.5,91770
1681,7.9,97661
2033,7.1,93001
1932,5.6,138207
1838,5.7,87070
1996,9.0,102685
1482,7.2,36735
1488,5.2,141810
910,9.1,44764
674,5.0,251178
1581,5.8,293534
941,9.6,47064
1401,8.7,133682
2075,7.9,104881
672,5.7,93613
1642,5.8,207719
2352,7.7,169583
2109,5.2,102146
1188,8.1,171881
838,7.7,24066
2468,7.6,149018
1210,6.5,119622
2215,6.1,135418
2221,8.0,80410
2333,8.8,158403
2218,9.7,143401
2155,6.3,72505
2376,6.0,101052
1450,5.1,90464
2068,8.4,155870
2236,7.9,86105
1530,8.9,60304
1416,9.5,158258
2202,7.9,139108
1248,8.1,127647
1025,8.4,113026
2148,5.5,160446
2394,8.1,170414
641,6.6,153701
952,9.9,66536
1931,8.0,144573
2309,5.7,39124
1349,9.8,148877
1944,7.9,62439
2030,5.6,70705
2276,9.4,136064
515,9.1,114102
843,10.0,48875
1486,7.0,66920
992,7.9,60046
639,9.4,65824
1381,5.8,92205
954,6.0,69016
1060,7.8,71384
1082,9.9,63659
1849,6.6,117611
606,7.4,48074
1471,5.0,122232
904,7.0,197539
1130,9.0,255683
2312,6.9,77121
624,9.7,52575
733,7.3,86907
2370,9.4,148771
972,5.2,124742
1372,7.4,80538
751,8.6,261998
1306,6.2,161380
683,7.6,114449
1053,7.0,65542
1848,9.9,177905
993,7.6,89958
1812,6.3,50166
977,6.0,153548
992,5.7,199709
501,5.7,106748
2246,7.6,164745
1983,9.9,74190
517,6.5,77889
1924,7.6,172285
509,5.2,192684
2146,9.1,62085
960,9.9,70641
1260,5.4,57845
623,9.6,70641
1761,9.8,266056
1598,7.4,39810
2086,7.2,46834
930,7.3,151336
2299,9.7,76149
526,6.7,132231
635,5.8,163387
2238,5.3,63017
1957,9.6,33704
2126,7.7,199909
1905,6.3,109037
2142,6.6,79918
1437,5.1,140756
2415,9.2,193092
1932,6.3,152328
1892,7.4,115808
951,6.4,123117
1171,6.9,48031
2497,9.6,267720
2222,5.6,130274
593,5.2,217100
1880,7.4,69518
2155,9.2,149647
1919,5.2,56185
1378,7.9,47695
1403,9.4,100301
754,5.8,66736
2175,5.4,71795
1212,5.2,40743
607,7.3,50361
1174,6.5,25504
1869,8.2,100549
1078,7.9,96451
677,8.3,94478
1851,5.7,69250
1889,9.9,99816
1258,9.2,151190
1974,9.6,234904
1471,8.0,100583
2132,8.8,193990
2261,8.5,138206
1325,6.7,130833
1457,7.0,178524
650,9.2,58009
2371,9.0,51134
1250,5.6,121528
2281,8.4,161005
2264,8.2,172723
2164,6.2,124515
827,6.0,80001
1912,5.4,106148
1187,5.3,88162
1786,6.0,80965
1331,6.2,102591
1749,6.3,83458
1897,8.8,131559
661,5.1,103944
2154,8.7,92612
1310,9.8,91367
1531,7.9,102393
2068,9.9,126897
2192,9.4,49677
1627,5.8,220260
2445,8.4,124924
2325,9.6,221162
504,7.4,68143
2296,8.7,139571
2468,5.5,75216
1924,8.0,185001
914,8.2,92328
787,8.1,100927
812,8.4,99845
649,6.0,77405
555,5.7,60738
1116,6.6,105471
925,9.1,159419
2148,9.0,90738
2020,8.3,90479
1821,8.5,155058
1458,7.7,85529
1346,5.7,86082
1139,8.2,96560
1024,5.5,83531
863,8.0,113892
1671,5.4,261519
2093,6.4,112036
1937,9.1,91847
1310,5.9,58336
533,7.4,66684
1649,7.9,91813
1243,7.5,138037
2159,7.7,118721
2136,8.6,70536
1277,5.5,96320
848,6.9,134322
1366,7.6,61853
818,8.3,118786
2243,9.4,63582
2126,7.5,120025
1244,9.6,69623
1897,8.0,84572
1102,5.3,75649
2051,5.1,101898
770,10.0,146918
1949,8.8,48437
2144,9.0,156021
623,6.7,142101
1206,8.4,85556
2008,7.2,36647
1644,7.3,82294
2219,6.2,91519
1676,6.0,67529
1333,5.7,194639
513,6.2,194962
534,6.1,68003
1941,6.5,160113
1849,7.6,51041
1068,8.6,123576
1685,6.4,76765
1414,9.4,212410
2324,6.4,64240
1289,8.4,132240
1928,7.8,90724
1507,8.1,210905
617,8.0,113235
1087,6.4,167568
1930,5.3,60687
1619,7.5,140330
558,7.0,87316
1214,5.0,103223
1671,5.7,259484
831,6.5,83379
1500,9.9,108902
1319,9.6,56324
2283,5.6,117902
