company_size,salary_usd,benefits_score,company_size_encoded
S,70576,9.2,2
M,27457,6.0,1
M,115606,8.3,1
L,85378,6.6,0
M,305455,5.2,1
L,115424,6.3,0
S,73524,6.1,2
M,164239,9.4,1
S,187030,8.7,2
S,201791,9.7,2
M,189693,7.2,1
L,65796,9.1,0
S,50207,8.8,2
M,90924,5.2,1
S,66161,5.0,2
L,166384,9.5,0
M,124008,8.6,1
M,83812,6.0,1
S,142427,5.8,2
M,186900,7.9,1
M,129050,9.8,1
S,274462,6.4,2
M,62465,7.6,1
M,73182,7.7,1
S,184437,5.4,2
M,94373,8.6,1
M,222341,7.3,1
M,54047,5.6,1
S,127771,9.1,2
M,93985,7.2,1
S,66798,5.5,2
L,155058,5.5,0
L,280160,5.6,0
S,77244,8.2,2
M,216834,6.6,1
L,110485,8.6,0
S,43499,5.1,2
L,266981,9.5,0
M,126042,7.2,1
S,173706,8.8,2
M,75161,5.6,1
M,115030,7.8,1
M,151796,6.3,1
M,59337,9.7,1
L,84211,9.8,0
S,121798,9.9,2
M,198790,7.2,1
L,80590,8.8,0
M,158320,5.4,1
S,28067,8.1,2
M,221734,8.2,1
L,66023,6.0,0
M,79053,7.5,1
M,90414,7.4,1
S,44966,7.6,2
M,135292,9.2,1
M,224798,6.9,1
S,169956,6.9,2
L,218143,5.6,0
S,123186,8.0,2
S,69645,8.9,2
L,157091,9.3,0
L,90830,9.2,0
M,249590,6.1,1
M,123791,7.0,1
S,117223,9.4,2
S,27366,6.5,2
L,182032,8.9,0
L,31017,5.8,0
S,148948,7.5,2
L,126217,8.9,0
M,85615,9.4,1
M,224102,10.0,1
M,67594,9.8,1
S,172931,5.9,2
S,109233,5.7,2
L,240499,7.4,0
M,92133,7.5,1
M,76049,5.8,1
L,272882,6.3,0
S,60278,9.2,2
L,232998,6.5,0
S,125478,6.9,2
S,80666,7.3,2
L,130187,5.3,0
L,112669,8.8,0
L,117310,7.0,0
L,104436,9.8,0
L,151858,8.0,0
L,300122,8.4,0
M,123704,5.6,1
M,123407,5.9,1
S,113350,7.3,2
M,240944,6.5,1
L,56468,9.1,0
S,23467,8.7,2
S,41589,7.1,2
L,56436,8.9,0
M,102052,9.6,1
M,140417,6.5,1
L,62079,8.3,0
L,181941,7.2,0
S,48759,6.7,2
S,94775,6.4,2
S,111479,9.1,2
M,196602,5.3,1
L,264173,9.6,0
M,69502,8.8,1
S,130004,9.7,2
M,225220,8.5,1
M,96826,5.2,1
S,56293,5.2,2
M,197669,7.5,1
M,129726,5.1,1
S,146815,5.4,2
S,108448,9.9,2
S,56987,5.1,2
S,109575,9.7,2
L,61632,6.6,0
M,86859,7.7,1
M,93901,5.0,1
S,78383,6.8,2
L,105143,9.6,0
M,113830,7.3,1
M,104205,6.6,1
S,76948,9.8,2
L,158361,7.2,0
M,246286,9.9,1
M,29444,5.3,1
L,65572,8.5,0
M,89996,8.5,1
M,251600,8.1,1
L,97239,7.8,0
S,117805,7.7,2
M,124143,9.1,1
S,119551,8.8,2
L,122489,8.3,0
L,297922,9.1,0
M,284790,6.0,1
S,140500,7.7,2
S,116663,6.3,2
S,136106,8.2,2
S,120352,5.1,2
S,115824,9.8,2
S,192495,9.2,2
L,70175,5.9,0
M,36741,8.6,1
L,60568,5.3,0
M,56833,9.3,1
S,138563,6.1,2
S,69031,7.4,2
S,49258,8.6,2
M,177507,7.0,1
M,278819,6.4,1
M,101827,5.8,1
L,84062,8.9,0
S,102646,6.6,2
M,95477,8.4,1
S,46111,5.9,2
M,97023,8.7,1
M,220428,8.2,1
L,111944,6.3,0
L,186617,6.5,0
M,161013,7.1,1
S,30458,8.8,2
S,64590,9.5,2
S,113088,8.2,2
L,110516,7.3,0
S,33400,9.2,2
M,57862,6.1,1
M,111403,8.5,1
S,51736,5.1,2
M,23717,7.6,1
M,109386,6.5,1
M,74878,7.7,1
M,65141,9.2,1
M,128867,5.2,1
S,90726,7.2,2
M,194760,5.2,1
S,107056,7.6,2
M,108594,9.7,1
S,79163,8.6,2
M,32589,6.1,1
L,151184,8.1,0
S,80519,8.5,2
S,67798,9.0,2
L,142055,6.0,0
M,120576,6.4,1
M,125509,8.5,1
M,55931,8.0,1
L,231123,6.8,0
L,228322,9.0,0
S,143444,8.8,2
M,72811,9.5,1
S,53482,6.2,2
S,69221,5.7,2
L,171506,7.8,0
S,149279,9.7,2
M,123862,8.1,1
L,261986,8.3,0
S,158894,5.8,2
L,137974,6.1,0
L,90760,9.3,0
L,137606,8.8,0
S,133207,8.3,2
L,100495,6.6,0
S,91306,5.4,2
L,331986,5.0,0
M,75194,8.0,1
M,89154,5.9,1
M,64299,7.8,1
L,137294,6.4,0
M,101275,8.7,1
L,139984,8.9,0
S,151316,6.4,2
M,84471,5.6,1
S,104379,6.3,2
S,252832,8.7,2
L,214285,9.6,0
L,100489,7.7,0
M,116902,6.0,1
M,98004,6.7,1
S,216802,6.0,2
M,97639,8.8,1
L,112321,6.0,0
S,192260,9.4,2
L,109993,8.9,0
S,65943,9.3,2
M,90867,9.5,1
M,84856,9.5,1
M,171549,5.2,1
M,191772,8.4,1
S,111326,7.3,2
M,180543,7.1,1
M,35560,5.7,1
L,80024,10.0,0
M,62790,8.4,1
M,172119,5.8,1
S,144594,6.8,2
S,59241,9.1,2
M,114166,6.8,1
S,32706,8.4,2
M,120324,8.8,1
L,59232,8.4,0
M,221142,5.6,1
S,48487,7.8,2
M,145495,5.0,1
L,64092,7.3,0
S,135974,7.6,2
M,215605,5.6,1
L,109621,9.8,0
S,155788,7.7,2
L,114493,6.2,0
S,127669,8.5,2
M,184048,6.6,1
S,62821,7.6,2
M,116061,9.5,1
M,68069,8.5,1
S,55034,8.6,2
M,197089,9.0,1
S,63965,9.2,2
S,88359,6.4,2
S,58746,9.0,2
M,84148,5.2,1
M,106957,6.4,1
S,83304,6.3,2
M,169228,9.7,1
S,87246,9.4,2
M,71057,7.6,1
M,197354,8.8,1
S,128498,9.0,2
L,186865,5.3,0
M,107253,9.8,1
S,63687,9.5,2
S,79216,6.0,2
L,231383,8.9,0
S,43977,8.7,2
M,58328,6.6,1
L,26547,7.8,0
S,55423,7.0,2
S,24833,9.3,2
M,110197,8.7,1
M,72964,9.2,1
M,59921,8.4,1
S,56383,8.8,2
S,71225,6.9,2
M,64188,7.2,1
S,111850,6.4,2
M,193873,8.6,1
M,69980,8.5,1
S,17744,7.8,2
L,55353,8.2,0
M,29786,7.3,1
M,75425,9.1,1
S,154886,9.6,2
M,99073,6.4,1
M,73454,8.8,1
S,59838,7.2,2
M,87537,8.3,1
M,26899,5.6,1
S,89970,5.6,2
L,135427,6.9,0
M,55414,8.9,1
M,214757,8.7,1
M,165695,7.7,1
M,88990,5.4,1
M,74202,6.7,1
S,127421,9.1,2
L,278984,6.2,0
S,158896,5.4,2
L,135260,5.3,0
S,75021,9.1,2
S,154992,6.9,2
L,190121,7.5,0
L,385410,5.5,0
S,100524,7.4,2
M,277819,9.1,1
S,65703,8.9,2
L,132522,7.3,0
S,165364,5.7,2
S,106407,5.1,2
M,72285,6.7,1
S,105498,9.7,2
S,93513,7.7,2
M,56370,7.5,1
L,111901,9.7,0
S,250059,6.3,2
M,273161,5.3,1
S,132189,6.8,2
M,66589,9.5,1
M,60676,8.3,1
M,109570,5.9,1
S,58052,7.2,2
M,98945,9.1,1
L,199637,9.9,0
S,78109,8.6,2
M,73974,6.0,1
M,134116,5.2,1
L,135851,8.9,0
M,142460,6.5,1
S,69316,8.1,2
L,82158,5.6,0
L,167922,9.4,0
L,142118,5.8,0
S,215397,7.6,2
L,294594,5.5,0
M,63057,10.0,1
M,217874,9.6,1
S,32792,7.7,2
M,116266,6.0,1
L,70410,5.3,0
L,56897,8.6,0
S,135997,7.9,2
S,50494,6.0,2
S,144481,5.1,2
M,102340,5.4,1
S,289309,7.2,2
L,86564,6.6,0
L,105245,7.9,0
S,135249,8.8,2
L,351014,5.8,0
L,170313,5.6,0
L,96839,9.8,0
M,112039,5.5,1
L,161578,8.7,0
L,162342,6.3,0
M,81152,5.1,1
L,146791,6.9,0
M,231457,6.5,1
S,114857,9.5,2
L,73750,9.7,0
L,87162,9.8,0
M,85264,8.9,1
M,72355,5.3,1
S,83615,9.3,2
L,201139,8.2,0
M,227744,9.3,1
M,50231,7.1,1
M,149410,9.2,1
S,322650,6.3,2
L,138075,6.1,0
L,70492,8.5,0
S,50946,7.1,2
M,74567,5.3,1
L,63683,5.7,0
L,93281,6.7,0
S,86606,6.2,2
M,114314,5.1,1
L,44105,5.7,0
L,87807,7.2,0
L,105998,7.3,0
M,205845,8.5,1
S,108031,9.2,2
S,43599,6.4,2
S,100782,9.9,2
S,124064,7.4,2
L,32020,8.5,0
M,88815,6.1,1
M,102567,7.6,1
M,72234,9.1,1
M,284726,6.5,1
M,103801,5.2,1
L,211598,6.5,0
M,65479,8.9,1
S,55701,9.0,2
S,265222,9.8,2
S,33734,7.2,2
S,69684,7.1,2
L,96701,9.2,0
M,180946,8.5,1
M,166915,5.2,1
M,121685,5.2,1
L,167790,9.7,0
M,80516,6.0,1
S,100310,7.7,2
M,120643,7.2,1
S,68168,5.9,2
L,103407,6.4,0
M,79353,7.0,1
M,215826,8.7,1
L,124330,5.3,0
M,53595,5.2,1
S,141469,6.5,2
L,115046,8.0,0
M,147907,8.8,1
S,50641,9.3,2
M,214441,6.3,1
M,114417,9.9,1
L,112932,9.3,0
L,72211,9.8,0
L,182222,7.2,0
L,83596,5.2,0
L,109011,8.6,0
L,74573,8.1,0
L,117158,6.4,0
M,84442,6.8,1
L,64765,5.8,0
S,161364,6.5,2
L,259567,10.0,0
S,58926,9.8,2
L,205317,7.3,0
M,142793,7.0,1
L,48948,8.5,0
M,101284,7.2,1
L,94804,8.7,0
S,55274,8.1,2
S,46056,7.8,2
M,71471,6.3,1
S,173574,5.8,2
L,228777,8.5,0
M,218206,5.6,1
L,218548,9.7,0
M,137310,5.8,1
L,112353,9.6,0
M,217691,9.8,1
L,82416,9.1,0
L,271408,5.3,0
M,50767,9.7,1
L,110614,5.7,0
M,92141,6.9,1
M,48318,5.6,1
L,263753,8.3,0
M,273323,8.7,1
S,62268,6.9,2
L,116686,9.9,0
M,129353,8.5,1
L,267772,7.8,0
M,59923,7.1,1
L,75531,9.1,0
L,71196,9.2,0
S,88243,9.0,2
S,105621,5.6,2
S,98658,6.2,2
L,61301,7.6,0
S,170872,10.0,2
L,56083,8.6,0
S,71351,6.3,2
L,131806,6.9,0
M,85952,7.8,1
L,177858,9.6,0
L,210574,6.1,0
L,96894,5.2,0
M,137829,7.4,1
M,99906,8.0,1
L,78189,5.3,0
L,221259,8.1,0
S,69907,7.0,2
L,114573,8.9,0
S,91770,9.5,2
S,97661,7.9,2
S,93001,7.1,2
S,138207,5.6,2
L,87070,5.7,0
S,102685,9.0,2
M,36735,7.2,1
M,141810,5.2,1
M,44764,9.1,1
L,251178,5.0,0
M,293534,5.8,1
S,47064,9.6,2
M,133682,8.7,1
S,104881,7.9,2
L,93613,5.7,0
S,207719,5.8,2
S,169583,7.7,2
M,102146,5.2,1
L,171881,8.1,0
S,24066,7.7,2
L,149018,7.6,0
S,119622,6.5,2
M,135418,6.1,1
M,80410,8.0,1
M,158403,8.8,1
M,143401,9.7,1
S,72505,6.3,2
L,101052,6.0,0
S,90464,5.1,2
M,155870,8.4,1
M,86105,7.9,1
M,60304,8.9,1
S,158258,9.5,2
M,139108,7.9,1
L,127647,8.1,0
L,113026,8.4,0
M,160446,5.5,1
S,170414,8.1,2
L,153701,6.6,0
M,66536,9.9,1
S,144573,8.0,2
M,39124,5.7,1
L,148877,9.8,0
S,62439,7.9,2
M,70705,5.6,1
M,136064,9.4,1
S,114102,9.1,2
S,48875,10.0,2
M,66920,7.0,1
S,60046,7.9,2
S,65824,9.4,2
M,92205,5.8,1
S,69016,6.0,2
M,71384,7.8,1
S,63659,9.9,2
M,117611,6.6,1
S,48074,7.4,2
S,122232,5.0,2
L,197539,7.0,0
M,255683,9.0,1
L,77121,6.9,0
L,52575,9.7,0
S,86907,7.3,2
M,148771,9.4,1
L,124742,5.2,0
M,80538,7.4,1
S,261998,8.6,2
M,161380,6.2,1
S,114449,7.6,2
M,65542,7.0,1
M,177905,9.9,1
L,89958,7.6,0
S,50166,6.3,2
L,153548,6.0,0
M,199709,5.7,1
M,106748,5.7,1
S,164745,7.6,2
S,74190,9.9,2
L,77889,6.5,0
S,172285,7.6,2
S,192684,5.2,2
L,62085,9.1,0
M,70641,9.9,1
S,57845,5.4,2
S,70641,9.6,2
L,266056,9.8,0
L,39810,7.4,0
L,46834,7.2,0
L,151336,7.3,0
L,76149,9.7,0
S,132231,6.7,2
M,163387,5.8,1
M,63017,5.3,1
S,33704,9.6,2
M,199909,7.7,1
M,109037,6.3,1
L,79918,6.6,0
S,140756,5.1,2
S,193092,9.2,2
L,152328,6.3,0
L,115808,7.4,0
S,123117,6.4,2
S,48031,6.9,2
S,267720,9.6,2
L,130274,5.6,0
L,217100,5.2,0
S,69518,7.4,2
S,149647,9.2,2
S,56185,5.2,2
S,47695,7.9,2
S,100301,9.4,2
M,66736,5.8,1
L,71795,5.4,0
M,40743,5.2,1
M,50361,7.3,1
S,25504,6.5,2
S,100549,8.2,2
S,96451,7.9,2
S,94478,8.3,2
S,69250,5.7,2
L,99816,9.9,0
M,151190,9.2,1
S,234904,9.6,2
L,100583,8.0,0
L,193990,8.8,0
L,138206,8.5,0
M,130833,6.7,1
M,178524,7.0,1
S,58009,9.2,2
L,51134,9.0,0
M,121528,5.6,1
L,161005,8.4,0
M,172723,8.2,1
S,124515,6.2,2
L,80001,6.0,0
S,106148,5.4,2
M,88162,5.3,1
S,80965,6.0,2
L,102591,6.2,0
L,83458,6.3,0
S,131559,8.8,2
M,103944,5.1,1
S,92612,8.7,2
M,91367,9.8,1
L,102393,7.9,0
S,126897,9.9,2
S,49677,9.4,2
S,220260,5.8,2
M,124924,8.4,1
L,221162,9.6,0
S,68143,7.4,2
L,139571,8.7,0
M,75216,5.5,1
S,185001,8.0,2
L,92328,8.2,0
S,100927,8.1,2
L,99845,8.4,0
L,77405,6.0,0
S,60738,5.7,2
L,105471,6.6,0
S,159419,9.1,2
M,90738,9.0,1
S,90479,8.3,2
L,155058,8.5,0
S,85529,7.7,2
S,86082,5.7,2
L,96560,8.2,0
L,83531,5.5,0
S,113892,8.0,2
M,261519,5.4,1
L,112036,6.4,0
L,91847,9.1,0
S,58336,5.9,2
M,66684,7.4,1
M,91813,7.9,1
M,138037,7.5,1
L,118721,7.7,0
L,70536,8.6,0
L,96320,5.5,0
L,134322,6.9,0
M,61853,7.6,1
S,118786,8.3,2
S,63582,9.4,2
L,120025,7.5,0
S,69623,9.6,2
M,84572,8.0,1
L,75649,5.3,0
M,101898,5.1,1
M,146918,10.0,1
S,48437,8.8,2
L,156021,9.0,0
L,142101,6.7,0
L,85556,8.4,0
S,36647,7.2,2
L,82294,7.3,0
L,91519,6.2,0
L,67529,6.0,0
L,194639,5.7,0
M,194962,6.2,1
M,68003,6.1,1
L,160113,6.5,0
S,51041,7.6,2
S,123576,8.6,2
M,76765,6.4,1
L,212410,9.4,0
M,64240,6.4,1
M,132240,8.4,1
S,90724,7.8,2
L,210905,8.1,0
S,113235,8.0,2
S,167568,6.4,2
M,60687,5.3,1
S,140330,7.5,2
S,87316,7.0,2
L,103223,5.0,0
L,259484,5.7,0
S,83379,6.5,2
M,108902,9.9,1
L,56324,9.6,0
L,117902,5.6,0
L,113637,7.6,0
M,100672,8.1,1
S,59217,6.2,2
L,180746,9.0,0
M,76000,9.0,1
S,158289,6.7,2
L,210409,9.6,0
S,72009,7.0,2
L,216981,5.1,0
M,125378,8.1,1
S,80879,8.5,2
L,304522,9.3,0
M,106646,7.0,1
M,91413,9.0,1
L,224651,9.4,0
L,130860,7.1,0
S,46877,7.0,2
M,179047,9.9,1
M,104146,5.0,1
S,31567,6.6,2
S,97690,6.6,2
M,62371,7.4,1
L,262516,9.1,0
S,75844,9.7,2
L,131997,6.1,0
M,103953,5.8,1
L,177676,9.3,0
S,122946,7.1,2
S,202266,5.9,2
S,42862,6.6,2
L,221324,7.6,0
L,129064,5.8,0
L,116116,8.3,0
L,204614,9.7,0
S,44008,5.9,2
M,59937,9.2,1
S,86443,5.9,2
S,104949,9.8,2
S,186813,8.6,2
L,211822,9.4,0
M,153646,7.6,1
M,117982,9.9,1
S,133740,7.8,2
S,84175,6.9,2
S,87366,10.0,2
L,110287,7.8,0
L,104258,9.2,0
L,114211,9.0,0
L,194011,8.4,0
L,293192,8.4,0
S,53874,6.9,2
S,88454,5.2,2
S,161911,8.7,2
S,64565,8.1,2
S,47708,9.5,2
M,140313,6.2,1
L,94235,9.2,0
S,57467,8.0,2
M,129225,5.9,1
M,157816,10.0,1
S,77796,5.4,2
S,202840,8.6,2
M,77051,5.6,1
L,105395,7.1,0
M,83359,5.4,1
L,98213,8.8,0
S,39868,5.1,2
M,246512,10.0,1
M,77063,9.8,1
L,60066,9.6,0
L,93900,5.8,0
L,132017,9.5,0
S,94447,7.8,2
M,65304,5.8,1
L,172150,5.7,0
M,88827,7.2,1
L,144886,8.3,0
S,133043,8.8,2
L,127811,9.6,0
S,103521,5.6,2
M,54480,9.3,1
M,74709,5.8,1
S,59379,8.0,2
M,61440,8.0,1
S,134360,7.0,2
S,225183,8.6,2
L,262051,5.4,0
L,51148,9.4,0
L,50384,7.9,0
S,45747,8.3,2
M,27660,7.4,1
L,66412,7.1,0
L,286005,9.4,0
S,162115,6.4,2
M,179992,8.4,1
S,52604,9.8,2
L,135693,7.8,0
M,132806,10.0,1
L,119154,5.6,0
L,116153,5.5,0
S,122285,8.3,2
M,87146,5.7,1
M,101820,6.2,1
M,76032,8.6,1
L,138064,8.1,0
L,131574,6.4,0
L,366922,9.3,0
L,113179,8.2,0
L,249140,6.1,0
M,171609,7.4,1
S,105792,5.3,2
M,173700,6.5,1
L,97074,8.4,0
M,22207,9.6,1
L,166711,7.1,0
S,91344,9.8,2
L,171048,7.1,0
M,129514,6.5,1
S,70909,6.6,2
M,55311,5.2,1
M,61598,7.0,1
L,129700,8.3,0
S,135809,7.3,2
S,238500,6.0,2
S,50048,7.1,2
L,164914,7.1,0
M,181134,5.9,1
L,81453,9.2,0
S,52632,8.8,2
L,77848,6.9,0
M,117315,9.0,1
S,166998,7.3,2
L,174172,5.7,0
M,93049,7.4,1
L,139395,6.5,0
L,207936,5.0,0
M,188512,9.7,1
M,176564,7.3,1
L,156332,10.0,0
M,113860,9.0,1
L,95951,8.2,0
S,177286,9.8,2
M,53681,8.3,1
M,130939,6.6,1
M,39395,8.6,1
M,123582,9.6,1
S,136808,8.2,2
S,38736,9.0,2
M,111692,5.5,1
M,320350,6.9,1
S,148284,5.7,2
S,164350,9.9,2
L,300752,9.1,0
L,71687,8.0,0
S,78911,9.7,2
L,85224,7.0,0
S,30653,9.7,2
L,125667,7.9,0
M,59008,8.3,1
S,87615,6.4,2
M,64656,5.7,1
S,236797,8.6,2
L,69325,9.9,0
S,100014,9.1,2
L,145257,7.5,0
M,129098,6.6,1
M,58400,6.4,1
S,146073,5.9,2
M,110488,7.7,1
M,71058,6.3,1
L,231110,8.3,0
L,138306,9.6,0
S,187455,8.1,2
L,94272,7.8,0
S,136910,5.6,2
L,155455,5.7,0
S,218908,6.6,2
S,58456,6.5,2
M,79370,5.9,1
L,56598,8.7,0
M,164862,6.9,1
L,78776,7.7,0
M,107481,6.1,1
M,165800,8.3,1
L,114567,9.8,0
S,45528,8.7,2
M,156683,8.6,1
S,38720,8.3,2
M,114629,5.4,1
L,57392,6.3,0
L,341117,8.5,0
S,86046,9.8,2
S,149937,5.1,2
M,80029,9.5,1
L,165691,6.0,0
M,141765,8.6,1
S,47675,8.0,2
L,114484,6.9,0
S,88276,8.3,2
L,174969,9.2,0
L,193261,8.7,0
S,58905,5.1,2
L,155003,5.7,0
L,137955,9.6,0
M,127644,7.2,1
M,131769,9.2,1
S,69280,8.4,2
M,298482,9.1,1
S,91961,9.0,2
L,108071,8.8,0
S,89067,8.5,2
S,80773,5.0,2
M,246330,6.0,1
L,158632,9.8,0
M,55191,6.0,1
L,290447,6.3,0
M,162470,8.3,1
L,237565,7.5,0
M,74020,8.5,1
M,184394,7.3,1
M,195735,5.8,1
M,321668,5.6,1
L,132287,7.3,0
S,70147,9.1,2
L,58977,6.9,0
M,115529,5.3,1
S,123402,8.5,2
S,81236,8.6,2
S,23762,8.5,2
M,80966,6.1,1
M,184463,9.5,1
S,80922,6.1,2
L,225786,5.7,0
S,174292,5.5,2
M,141209,5.6,1
M,33494,8.1,1
L,102081,5.9,0
M,142338,5.7,1
S,111416,6.8,2
S,171510,6.8,2
S,32757,9.6,2
S,78323,8.2,2
S,68649,9.7,2
M,82078,6.2,1
S,65931,6.8,2
L,207846,6.7,0
M,107642,5.9,1
M,51450,8.3,1
L,79522,8.6,0
L,100881,5.3,0
L,89648,9.6,0
S,227077,6.9,2
L,141613,9.5,0
L,197086,7.5,0
M,34933,9.8,1
M,57403,8.0,1
S,217171,6.2,2
L,85086,9.4,0
L,77309,9.9,0
M,152616,9.5,1
M,80354,5.3,1
S,130383,5.6,2
M,191150,5.0,1
S,77392,8.2,2
L,72963,9.4,0
M,77791,7.2,1
L,150499,9.2,0
M,79579,6.1,1
L,251411,8.3,0
S,54870,8.5,2
S,104878,9.6,2
L,76528,5.7,0
L,372494,8.8,0
M,135702,8.4,1
S,75693,9.8,2
L,104982,5.6,0
L,244711,8.7,0
S,45500,6.9,2
S,117161,5.6,2
M,69868,7.8,1
M,64406,9.2,1
M,237645,5.5,1
S,49582,7.8,2
S,83059,8.6,2
L,136959,7.6,0
S,107694,8.1,2
S,179863,8.9,2
L,138581,9.3,0
L,167250,6.9,0
S,73285,7.6,2
M,90517,5.8,1
S,137917,6.0,2
M,113385,7.3,1
L,91903,5.4,0
S,62142,8.4,2
M,162597,5.0,1
S,277090,7.3,2
S,111361,5.9,2
S,124750,9.3,2
M,59624,5.7,1
M,176619,7.1,1
S,60007,8.0,2
M,76104,6.7,1
S,116281,7.0,2
S,67934,7.4,2
M,62548,8.5,1
L,32890,9.0,0
S,82416,6.6,2
M,143048,9.8,1
M,76432,5.0,1
L,91651,5.1,0
L,119672,6.2,0
S,91372,9.8,2
M,136154,6.2,1
S,48395,5.2,2
L,105774,7.1,0
S,160016,8.7,2
L,206793,7.9,0
L,86168,7.7,0
L,123853,8.0,0
L,78399,9.3,0
M,138128,8.5,1
S,90321,9.8,2
L,90443,8.2,0
M,121587,7.7,1
L,226775,5.3,0
S,97958,9.8,2
S,59895,6.8,2
S,96051,6.5,2
S,194676,9.7,2
M,83606,5.2,1
L,35409,5.4,0
S,75374,7.6,2
L,79994,8.0,0
S,78389,5.9,2
L,295681,9.4,0
L,126906,9.6,0
M,158136,10.0,1
S,147980,6.4,2
S,90573,5.2,2
L,287295,6.0,0
L,206996,8.7,0
M,122080,9.6,1
S,70756,7.6,2
L,97152,6.2,0
L,166402,8.5,0
L,67835,9.2,0
M,149496,10.0,1
L,261114,5.6,0
L,39992,6.3,0
M,127090,8.1,1
M,25060,9.4,1
M,121674,8.7,1
M,60372,8.1,1
S,277451,7.8,2
L,112653,8.1,0
S,65378,7.1,2
M,70603,7.6,1
S,190525,7.2,2
M,61699,8.8,1
L,273689,6.3,0
M,99938,6.9,1
M,109758,5.1,1
L,107303,8.2,0
L,89290,7.0,0
S,172273,9.4,2
L,98723,5.3,0
S,64219,9.1,2
L,163057,8.5,0
L,175853,7.7,0
S,24322,10.0,2
L,296894,7.2,0
M,102705,6.7,1
S,80745,6.0,2
S,135774,6.8,2
S,66185,7.8,2
M,142177,8.8,1
S,85696,8.2,2
M,148270,9.5,1
S,133788,6.0,2
S,162677,7.5,2
L,152781,7.3,0
L,91758,9.1,0
M,151164,7.9,1
S,71129,7.3,2
M,133851,9.4,1
S,60769,7.5,2
L,184176,5.6,0
M,225359,6.1,1
S,257030,6.3,2
S,106616,6.5,2
S,28056,7.1,2
L,149551,8.7,0
S,72604,5.6,2
L,57678,6.7,0
S,56249,7.6,2
L,100701,9.3,0
M,86400,7.1,1
L,161695,7.2,0
L,101102,8.8,0
M,72270,7.9,1
M,53789,5.2,1
L,104468,7.9,0
S,225913,6.7,2
L,178459,7.1,0
S,168120,6.9,2
S,66095,7.6,2
L,288067,7.8,0
S,18634,9.2,2
M,66098,7.5,1
S,43744,7.1,2
M,57278,6.2,1
S,59918,5.1,2
M,68180,9.4,1
S,97864,5.3,2
L,113546,5.8,0
S,237348,9.1,2
M,251015,6.0,1
M,78579,5.4,1
M,85161,8.9,1
M,190172,9.0,1
L,100405,7.2,0
L,42239,6.7,0
L,287260,7.2,0
M,198733,6.9,1
L,258415,5.7,0
M,82073,7.1,1
S,111443,8.3,2
L,200094,8.3,0
M,248923,8.8,1
L,72550,9.9,0
L,206051,8.1,0
M,141826,7.2,1
S,196522,7.9,2
M,104082,6.5,1
S,256314,9.7,2
M,62614,7.9,1
S,104089,6.6,2
S,52607,7.1,2
S,131333,7.7,2
L,369918,6.0,0
L,288629,5.5,0
S,186990,9.8,2
S,122223,6.8,2
S,116177,9.8,2
M,155331,5.7,1
L,157720,6.7,0
M,80697,6.8,1
L,95727,6.1,0
L,303364,5.4,0
M,130193,8.1,1
S,87100,5.4,2
M,253609,5.2,1
L,111947,7.6,0
L,149929,5.6,0
L,101866,8.5,0
S,77165,7.6,2
M,121396,8.8,1
L,136213,8.5,0
L,145362,5.6,0
S,53624,6.9,2
L,85771,5.3,0
L,181719,9.0,0
S,69580,9.3,2
L,132740,6.4,0
M,130258,6.4,1
S,116709,6.5,2
M,80310,7.5,1
M,185837,9.4,1
M,73290,8.4,1
M,115082,5.5,1
L,239030,6.8,0
L,78991,5.1,0
S,174805,6.3,2
S,181104,7.1,2
L,115681,6.7,0
L,43208,5.3,0
S,94668,5.5,2
L,88758,9.0,0
S,107851,8.1,2
L,77521,6.6,0
M,48915,8.8,1
S,144329,9.0,2
S,74868,5.1,2
L,173810,9.5,0
S,119626,7.8,2
S,55331,6.3,2
L,126364,5.6,0
M,193012,8.1,1
M,50277,9.9,1
S,52691,6.4,2
M,88745,8.9,1
M,69741,6.8,1
S,103812,9.6,2
L,110207,6.1,0
L,90086,5.4,0
M,69149,7.5,1
M,62098,8.2,1
S,58340,5.0,2
M,27753,8.1,1
L,94238,6.9,0
M,90515,9.1,1
M,252088,7.5,1
S,123498,7.5,2
S,97399,7.4,2
L,122301,7.2,0
S,102239,9.0,2
S,194401,5.9,2
L,88107,6.7,0
L,147607,8.1,0
L,62399,9.4,0
S,178097,6.6,2
S,121196,6.4,2
L,196124,5.4,0
S,133436,5.6,2
S,63143,9.7,2
M,101308,9.5,1
M,129700,7.3,1
M,82759,9.0,1
S,58384,9.6,2
M,57840,5.0,1
M,67529,5.9,1
M,103319,6.7,1
L,264281,8.6,0
S,90375,9.1,2
L,168030,9.9,0
S,144693,8.6,2
S,169169,7.8,2
L,97205,8.1,0
S,116462,9.5,2
S,161251,10.0,2
M,127524,5.6,1
L,40391,9.8,0
S,125657,9.0,2
S,220521,7.4,2
S,75300,7.5,2
L,89549,6.1,0
M,230750,5.6,1
M,43742,8.1,1
L,73505,8.5,0
S,93032,8.4,2
S,310945,7.5,2
S,91705,9.7,2
L,84567,9.6,0
L,77592,8.7,0
M,106660,9.8,1
L,46462,6.6,0
M,131368,5.0,1
S,78787,6.4,2
M,57111,9.0,1
L,70529,8.8,0
L,166422,5.5,0
S,132627,9.9,2
M,79266,6.4,1
L,159779,7.5,0
S,139290,7.6,2
S,231125,9.1,2
L,122595,8.0,0
S,68427,6.4,2
L,202722,6.2,0
M,108147,8.1,1
S,115437,9.8,2
