experience_level,years_experience,salary_usd,experience_level_encoded
EN,1,90726,0
EX,17,194760,1
SE,5,107056,3
SE,9,108594,3
MI,2,79163,2
EN,0,32589,0
SE,9,151184,3
SE,7,80519,3
EN,1,67798,0
SE,5,142055,3
SE,5,120576,3
MI,3,125509,2
EX,13,55931,1
EX,13,231123,1
EX,17,228322,1
EX,14,143444,1
EN,0,72811,0
SE,5,53482,3
EN,1,69221,0
SE,5,171506,3
EX,18,149279,1
SE,5,123862,3
EX,12,261986,1
EX,15,158894,1
SE,6,137974,3
MI,4,90760,2
SE,6,137606,3
EX,19,133207,1
EX,10,100495,1
MI,2,91306,2
EX,11,331986,1
MI,4,75194,2
EN,0,89154,0
EN,0,64299,0
SE,8,137294,3
MI,2,101275,2
MI,2,139984,2
EX,12,151316,1
EN,1,84471,0
SE,5,104379,3
EX,10,252832,1
EX,17,214285,1
EN,0,100489,0
SE,8,116902,3
EN,1,98004,0
EX,15,216802,1
MI,4,97639,2
MI,4,112321,2
EX,18,192260,1
MI,4,109993,2
MI,2,65943,2
MI,3,90867,2
EX,13,84856,1
EX,11,171549,1
EX,19,191772,1
SE,6,111326,3
EX,16,180543,1
EN,1,35560,0
SE,8,80024,3
EN,1,62790,0
SE,5,172119,3
EX,14,144594,1
EN,0,59241,0
SE,9,114166,3
EN,1,32706,0
SE,8,120324,3
EN,0,59232,0
EX,18,221142,1
EN,1,48487,0
SE,8,145495,3
EN,0,64092,0
SE,9,135974,3
EX,12,215605,1
MI,2,109621,2
SE,6,155788,3
SE,9,114493,3
SE,7,127669,3
EX,11,184048,1
MI,2,62821,2
MI,2,116061,2
EN,1,68069,0
EN,1,55034,0
EX,13,197089,1
EN,1,63965,0
EN,0,88359,0
EN,1,58746,0
EX,17,84148,1
EN,1,106957,0
MI,3,83304,2
EX,10,169228,1
MI,3,87246,2
EN,0,71057,0
EX,11,197354,1
EX,15,128498,1
SE,8,186865,3
MI,2,107253,2
MI,4,63687,2
MI,2,79216,2
EX,11,231383,1
SE,9,43977,3
SE,8,58328,3
EN,1,26547,0
EN,0,55423,0
MI,3,24833,2
MI,3,110197,2
EN,0,72964,0
EN,1,59921,0
EN,0,56383,0
EX,19,71225,1
EN,1,64188,0
MI,2,111850,2
EX,12,193873,1
EX,17,69980,1
EN,1,17744,0
EN,0,55353,0
EN,0,29786,0
MI,4,75425,2
EX,13,154886,1
SE,9,99073,3
EN,0,73454,0
SE,9,59838,3
MI,2,87537,2
EN,0,26899,0
SE,7,89970,3
SE,6,135427,3
EN,0,55414,0
SE,8,214757,3
SE,5,165695,3
EN,0,88990,0
EN,1,74202,0
EX,11,127421,1
EX,14,278984,1
SE,9,158896,3
MI,2,135260,2
MI,2,75021,2
EX,19,154992,1
EX,11,190121,1
EX,16,385410,1
SE,5,100524,3
EX,14,277819,1
EN,1,65703,0
SE,6,132522,3
EX,11,165364,1
SE,9,106407,3
EN,0,72285,0
SE,8,105498,3
MI,3,93513,2
EN,0,56370,0
MI,2,111901,2
EX,18,250059,1
EX,19,273161,1
SE,8,132189,3
EN,0,66589,0
EN,0,60676,0
SE,9,109570,3
EN,1,58052,0
MI,3,98945,2
EX,12,199637,1
MI,4,78109,2
MI,4,73974,2
SE,7,134116,3
SE,7,135851,3
SE,5,142460,3
EN,0,69316,0
EN,1,82158,0
SE,5,167922,3
SE,8,142118,3
EX,15,215397,1
EX,10,294594,1
EN,1,63057,0
EX,19,217874,1
SE,8,32792,3
SE,7,116266,3
EN,1,70410,0
EN,1,56897,0
MI,3,135997,2
EN,1,50494,0
EX,13,144481,1
MI,3,102340,2
EX,19,289309,1
EN,0,86564,0
MI,3,105245,2
EX,14,135249,1
EX,10,351014,1
SE,5,170313,3
MI,3,96839,2
EX,16,112039,1
SE,9,161578,3
SE,7,162342,3
MI,3,81152,2
SE,6,146791,3
EX,13,231457,1
SE,7,114857,3
EX,15,73750,1
EN,0,87162,0
EX,17,85264,1
EN,0,72355,0
MI,4,83615,2
SE,8,201139,3
EX,11,227744,1
EN,1,50231,0
EX,15,149410,1
EX,18,322650,1
SE,8,138075,3
MI,4,70492,2
EN,0,50946,0
EN,1,74567,0
EN,0,63683,0
EN,1,93281,0
MI,3,86606,2
SE,7,114314,3
SE,6,44105,3
MI,3,87807,2
MI,4,105998,2
SE,9,205845,3
SE,6,108031,3
MI,4,43599,2
MI,3,100782,2
SE,8,124064,3
EN,1,32020,0
MI,3,88815,2
MI,4,102567,2
EN,1,72234,0
EX,15,284726,1
MI,3,103801,2
EX,10,211598,1
EN,1,65479,0
EN,1,55701,0
EX,14,265222,1
MI,4,33734,2
MI,3,69684,2
MI,4,96701,2
EX,19,180946,1
EX,12,166915,1
SE,9,121685,3
SE,6,167790,3
EN,1,80516,0
MI,2,100310,2
SE,6,120643,3
MI,3,68168,2
EX,17,103407,1
EN,0,79353,0
EX,14,215826,1
MI,3,124330,2
EN,0,53595,0
EX,14,141469,1
MI,4,115046,2
MI,4,147907,2
EX,19,50641,1
EX,10,214441,1
MI,2,114417,2
MI,4,112932,2
EN,0,72211,0
EX,18,182222,1
EN,0,83596,0
EN,1,109011,0
EN,0,74573,0
MI,2,117158,2
MI,2,84442,2
EX,11,64765,1
SE,9,161364,3
EX,11,259567,1
MI,3,58926,2
SE,7,205317,3
MI,4,142793,2
SE,5,48948,3
MI,2,101284,2
MI,2,94804,2
EN,1,55274,0
EN,1,46056,0
EN,0,71471,0
EX,12,173574,1
EX,18,228777,1
EX,17,218206,1
EX,11,218548,1
SE,5,137310,3
MI,2,112353,2
EX,10,217691,1
MI,2,82416,2
EX,19,271408,1
EN,0,50767,0
SE,6,110614,3
MI,3,92141,2
EN,1,48318,0
EX,11,263753,1
EX,12,273323,1
MI,2,62268,2
MI,2,116686,2
SE,9,129353,3
EX,15,267772,1
EN,1,59923,0
EX,11,75531,1
EN,1,71196,0
MI,2,88243,2
SE,7,105621,3
SE,5,98658,3
EX,10,61301,1
EX,16,170872,1
EN,1,56083,0
EN,1,71351,0
SE,6,131806,3
EN,1,85952,0
SE,8,177858,3
SE,9,210574,3
MI,4,96894,2
EX,16,137829,1
MI,4,99906,2
EN,1,78189,0
EX,12,221259,1
EN,1,69907,0
MI,4,114573,2
SE,7,91770,3
SE,5,97661,3
SE,8,93001,3
EX,19,138207,1
MI,4,87070,2
SE,9,102685,3
MI,2,36735,2
EX,18,141810,1
EN,1,44764,0
EX,15,251178,1
EX,19,293534,1
EN,1,47064,0
SE,6,133682,3
SE,5,104881,3
EX,11,93613,1
EX,17,207719,1
EX,15,169583,1
EN,1,102146,0
SE,6,171881,3
EN,0,24066,0
EX,18,149018,1
SE,5,119622,3
SE,8,135418,3
MI,2,80410,2
SE,6,158403,3
EX,18,143401,1
MI,2,72505,2
MI,3,101052,2
MI,3,90464,2
EX,18,155870,1
EX,16,86105,1
EN,1,60304,0
SE,8,158258,3
SE,7,139108,3
SE,8,127647,3
SE,8,113026,3
EX,16,160446,1
SE,5,170414,3
EX,15,153701,1
EN,1,66536,0
EX,18,144573,1
SE,5,39124,3
SE,5,148877,3
EN,1,62439,0
MI,4,70705,2
EX,13,136064,1
SE,9,114102,3
SE,7,48875,3
EN,1,66920,0
EN,1,60046,0
MI,4,65824,2
MI,4,92205,2
MI,2,69016,2
EN,0,71384,0
EN,0,63659,0
SE,7,117611,3
EN,0,48074,0
SE,8,122232,3
EX,13,197539,1
EX,18,255683,1
EN,1,77121,0
MI,4,52575,2
SE,6,86907,3
SE,6,148771,3
SE,7,124742,3
MI,3,80538,2
EX,13,261998,1
EX,13,161380,1
SE,8,114449,3
EN,1,65542,0
EX,10,177905,1
EN,1,89958,0
EN,0,50166,0
MI,3,153548,2
SE,9,199709,3
SE,5,106748,3
SE,6,164745,3
MI,4,74190,2
EN,1,77889,0
EX,10,172285,1
EX,17,192684,1
SE,6,62085,3
SE,9,70641,3
EN,1,57845,0
EX,18,70641,1
EX,13,266056,1
MI,3,39810,2
MI,3,46834,2
SE,7,151336,3
EN,0,76149,0
EX,11,132231,1
SE,7,163387,3
EN,1,63017,0
MI,4,33704,2
EX,10,199909,1
MI,2,109037,2
EN,0,79918,0
EX,12,140756,1
EX,14,193092,1
MI,4,152328,2
MI,3,115808,2
SE,6,123117,3
EN,1,48031,0
EX,16,267720,1
SE,5,130274,3
SE,9,217100,3
EN,1,69518,0
EX,14,149647,1
EN,1,56185,0
EN,0,47695,0
SE,7,100301,3
MI,4,66736,2
EN,1,71795,0
MI,4,40743,2
EN,1,50361,0
EN,0,25504,0
SE,5,100549,3
SE,7,96451,3
SE,9,94478,3
EN,1,69250,0
MI,2,99816,2
SE,7,151190,3
EX,15,234904,1
EN,1,100583,0
EX,15,193990,1
SE,7,138206,3
SE,6,130833,3
SE,9,178524,3
EN,0,58009,0
MI,2,51134,2
SE,7,121528,3
SE,8,161005,3
EX,11,172723,1
EX,13,124515,1
EN,1,80001,0
SE,8,106148,3
MI,2,88162,2
MI,3,80965,2
MI,3,102591,2
EN,0,83458,0
SE,5,131559,3
MI,2,103944,2
EX,18,92612,1
SE,5,91367,3
EN,1,102393,0
EX,17,126897,1
EN,0,49677,0
EX,19,220260,1
SE,6,124924,3
SE,8,221162,3
EN,0,68143,0
MI,2,139571,2
MI,4,75216,2
EX,16,185001,1
MI,2,92328,2
MI,4,100927,2
MI,4,99845,2
EN,0,77405,0
EN,0,60738,0
MI,4,105471,2
EX,18,159419,1
MI,3,90738,2
MI,3,90479,2
SE,9,155058,3
MI,2,85529,2
MI,4,86082,2
EN,1,96560,0
EN,0,83531,0
SE,8,113892,3
EX,18,261519,1
MI,4,112036,2
EN,0,91847,0
EN,1,58336,0
EN,1,66684,0
MI,3,91813,2
SE,7,138037,3
EN,1,118721,0
EN,1,70536,0
MI,4,96320,2
SE,8,134322,3
EN,0,61853,0
SE,5,118786,3
EN,1,63582,0
SE,8,120025,3
MI,2,69623,2
EN,0,84572,0
SE,8,75649,3
EN,1,101898,0
SE,6,146918,3
SE,6,48437,3
EX,15,156021,1
SE,7,142101,3
MI,4,85556,2
MI,2,36647,2
MI,2,82294,2
MI,2,91519,2
SE,7,67529,3
EX,13,194639,1
EX,17,194962,1
MI,3,68003,2
SE,7,160113,3
EN,0,51041,0
MI,3,123576,2
MI,2,76765,2
EX,17,212410,1
SE,8,64240,3
EX,16,132240,1
MI,3,90724,2
EX,12,210905,1
SE,7,113235,3
EX,19,167568,1
EN,1,60687,0
EX,16,140330,1
MI,2,87316,2
EN,0,103223,0
EX,19,259484,1
EN,1,83379,0
MI,3,108902,2
EN,1,56324,0
MI,4,117902,2
MI,3,113637,2
MI,3,100672,2
EN,0,59217,0
EX,18,180746,1
EN,1,76000,0
EX,19,158289,1
EX,12,210409,1
MI,2,72009,2
EX,12,216981,1
MI,4,125378,2
MI,3,80879,2
EX,10,304522,1
MI,3,106646,2
MI,4,91413,2
EX,19,224651,1
EX,13,130860,1
EN,0,46877,0
EX,18,179047,1
SE,8,104146,3
MI,2,31567,2
SE,7,97690,3
EN,0,62371,0
EX,19,262516,1
MI,2,75844,2
SE,5,131997,3
MI,3,103953,2
SE,8,177676,3
SE,9,122946,3
EX,12,202266,1
SE,5,42862,3
SE,7,221324,3
MI,4,129064,2
SE,8,116116,3
EX,19,204614,1
EX,15,44008,1
SE,9,59937,3
MI,4,86443,2
SE,6,104949,3
EX,17,186813,1
EX,13,211822,1
EX,18,153646,1
SE,5,117982,3
SE,9,133740,3
EN,1,84175,0
MI,2,87366,2
MI,4,110287,2
SE,8,104258,3
EN,0,114211,0
EX,18,194011,1
EX,13,293192,1
EN,1,53874,0
SE,7,88454,3
EX,11,161911,1
MI,4,64565,2
EN,1,47708,0
SE,6,140313,3
EN,1,94235,0
MI,3,57467,2
SE,9,129225,3
EX,12,157816,1
MI,2,77796,2
EX,17,202840,1
EN,0,77051,0
MI,2,105395,2
EN,0,83359,0
EN,1,98213,0
MI,2,39868,2
EX,19,246512,1
EX,18,77063,1
EN,0,60066,0
MI,3,93900,2
SE,7,132017,3
MI,4,94447,2
EX,12,65304,1
SE,9,172150,3
MI,4,88827,2
SE,8,144886,3
EX,16,133043,1
SE,7,127811,3
SE,7,103521,3
EN,1,54480,0
MI,4,74709,2
EN,1,59379,0
SE,5,61440,3
EX,17,134360,1
EX,13,225183,1
EX,18,262051,1
MI,3,51148,2
SE,9,50384,3
EN,1,45747,0
EN,0,27660,0
EN,1,66412,0
EX,15,286005,1
EX,15,162115,1
EX,10,179992,1
EN,1,52604,0
MI,2,135693,2
SE,5,132806,3
MI,3,119154,2
EN,1,116153,0
SE,7,122285,3
SE,7,87146,3
MI,4,101820,2
MI,3,76032,2
SE,5,138064,3
SE,6,131574,3
EX,14,366922,1
EN,1,113179,0
EX,18,249140,1
EX,10,171609,1
SE,6,105792,3
EX,19,173700,1
MI,4,97074,2
EN,1,22207,0
SE,8,166711,3
MI,4,91344,2
SE,7,171048,3
EX,14,129514,1
MI,4,70909,2
EN,1,55311,0
EX,18,61598,1
MI,2,129700,2
SE,6,135809,3
EX,18,238500,1
EN,0,50048,0
SE,8,164914,3
EX,19,181134,1
EN,1,81453,0
EN,0,52632,0
EN,0,77848,0
SE,5,117315,3
SE,7,166998,3
SE,8,174172,3
MI,2,93049,2
SE,6,139395,3
SE,6,207936,3
EX,18,188512,1
EX,11,176564,1
SE,7,156332,3
MI,4,113860,2
MI,2,95951,2
SE,7,177286,3
EN,0,53681,0
SE,5,130939,3
SE,7,39395,3
MI,3,123582,2
EX,17,136808,1
SE,5,38736,3
SE,8,111692,3
EX,16,320350,1
EX,14,148284,1
EX,19,164350,1
EX,14,300752,1
SE,7,71687,3
MI,4,78911,2
MI,4,85224,2
MI,2,30653,2
MI,3,125667,2
EN,1,59008,0
MI,3,87615,2
SE,7,64656,3
EX,17,236797,1
EN,0,69325,0
SE,7,100014,3
SE,5,145257,3
SE,9,129098,3
EX,15,58400,1
EX,19,146073,1
SE,9,110488,3
EN,0,71058,0
EX,17,231110,1
SE,8,138306,3
EX,12,187455,1
EN,1,94272,0
EX,17,136910,1
EX,16,155455,1
EX,14,218908,1
EN,1,58456,0
EN,1,79370,0
SE,8,56598,3
EX,11,164862,1
MI,3,78776,2
MI,4,107481,2
EX,11,165800,1
MI,4,114567,2
EN,1,45528,0
SE,7,156683,3
SE,8,38720,3
SE,7,114629,3
EN,1,57392,0
EX,18,341117,1
MI,3,86046,2
EX,18,149937,1
EN,0,80029,0
SE,9,165691,3
SE,7,141765,3
EN,0,47675,0
EX,13,114484,1
MI,4,88276,2
SE,8,174969,3
EX,10,193261,1
EX,12,58905,1
SE,5,155003,3
MI,2,137955,2
SE,6,127644,3
SE,7,131769,3
MI,4,69280,2
EX,10,298482,1
SE,5,91961,3
MI,4,108071,2
MI,2,89067,2
MI,2,80773,2
EX,17,246330,1
EX,16,158632,1
EN,0,55191,0
EX,17,290447,1
EX,16,162470,1
EX,13,237565,1
MI,2,74020,2
EX,16,184394,1
EX,14,195735,1
EX,17,321668,1
EX,16,132287,1
EN,1,70147,0
SE,7,58977,3
MI,2,115529,2
SE,5,123402,3
MI,3,81236,2
EN,1,23762,0
EN,1,80966,0
EX,10,184463,1
EN,0,80922,0
EX,12,225786,1
EX,10,174292,1
SE,9,141209,3
EN,1,33494,0
MI,4,102081,2
SE,6,142338,3
MI,3,111416,2
EX,14,171510,1
EN,0,32757,0
MI,3,78323,2
EN,1,68649,0
MI,2,82078,2
EN,1,65931,0
EX,15,207846,1
MI,4,107642,2
EN,0,51450,0
EN,0,79522,0
MI,4,100881,2
MI,2,89648,2
EX,16,227077,1
SE,5,141613,3
SE,8,197086,3
MI,2,34933,2
EN,0,57403,0
EX,16,217171,1
EX,19,85086,1
EN,1,77309,0
SE,5,152616,3
MI,3,80354,2
SE,9,130383,3
EX,11,191150,1
MI,4,77392,2
EN,0,72963,0
EN,0,77791,0
EX,17,150499,1
MI,4,79579,2
EX,11,251411,1
MI,3,54870,2
SE,9,104878,3
MI,2,76528,2
EX,18,372494,1
SE,5,135702,3
EN,1,75693,0
EN,1,104982,0
EX,12,244711,1
EN,1,45500,0
EX,14,117161,1
EN,0,69868,0
EN,1,64406,0
EX,19,237645,1
EN,0,49582,0
MI,3,83059,2
SE,6,136959,3
MI,3,107694,2
EX,13,179863,1
SE,5,138581,3
SE,8,167250,3
MI,4,73285,2
MI,3,90517,2
EX,17,137917,1
MI,2,113385,2
MI,4,91903,2
EN,1,62142,0
EX,13,162597,1
EX,18,277090,1
SE,7,111361,3
SE,9,124750,3
MI,3,59624,2
SE,6,176619,3
EX,17,60007,1
EN,0,76104,0
SE,8,116281,3
EN,1,67934,0
EN,1,62548,0
EN,0,32890,0
MI,2,82416,2
SE,8,143048,3
EX,11,76432,1
MI,2,91651,2
EN,0,119672,0
SE,9,91372,3
MI,2,136154,2
EX,13,48395,1
EN,1,105774,0
SE,8,160016,3
SE,9,206793,3
EX,11,86168,1
SE,7,123853,3
EN,0,78399,0
SE,6,138128,3
MI,2,90321,2
MI,2,90443,2
SE,8,121587,3
SE,8,226775,3
SE,5,97958,3
EN,1,59895,0
MI,3,96051,2
EX,13,194676,1
EN,0,83606,0
EN,0,35409,0
MI,2,75374,2
EX,17,79994,1
MI,4,78389,2
EX,10,295681,1
SE,5,126906,3
EX,19,158136,1
SE,9,147980,3
MI,2,90573,2
EX,10,287295,1
EX,18,206996,1
SE,5,122080,3
EN,0,70756,0
EN,0,97152,0
SE,6,166402,3
EN,1,67835,0
EX,13,149496,1
EX,10,261114,1
EN,1,39992,0
SE,6,127090,3
EN,1,25060,0
SE,5,121674,3
EN,0,60372,0
EX,11,277451,1
MI,2,112653,2
EN,0,65378,0
EN,1,70603,0
EX,15,190525,1
EN,1,61699,0
EX,10,273689,1
MI,3,99938,2
MI,4,109758,2
MI,3,107303,2
EN,0,89290,0
EX,10,172273,1
MI,4,98723,2
EN,1,64219,0
SE,7,163057,3
EX,16,175853,1
EN,1,24322,0
EX,12,296894,1
MI,4,102705,2
MI,4,80745,2
EX,14,135774,1
EN,0,66185,0
MI,2,142177,2
MI,3,85696,2
SE,6,148270,3
SE,8,133788,3
EX,17,162677,1
SE,9,152781,3
EN,1,91758,0
MI,2,151164,2
EN,1,71129,0
SE,8,133851,3
MI,2,60769,2
EX,15,184176,1
EX,18,225359,1
EX,18,257030,1
SE,8,106616,3
EN,0,28056,0
SE,9,149551,3
EN,1,72604,0
EN,1,57678,0
EN,1,56249,0
EX,13,100701,1
EN,0,86400,0
SE,6,161695,3
MI,3,101102,2
EN,1,72270,0
EN,0,53789,0
MI,2,104468,2
EX,17,225913,1
SE,8,178459,3
EX,19,168120,1
EN,0,66095,0
EX,18,288067,1
EN,1,18634,0
EX,18,66098,1
EN,1,43744,0
EN,0,57278,0
EN,0,59918,0
EN,1,68180,0
SE,6,97864,3
MI,3,113546,2
EX,10,237348,1
EX,11,251015,1
MI,4,78579,2
MI,4,85161,2
EX,19,190172,1
MI,3,100405,2
MI,2,42239,2
EX,14,287260,1
EX,11,198733,1
EX,17,258415,1
MI,3,82073,2
SE,8,111443,3
EX,14,200094,1
EX,19,248923,1
EN,1,72550,0
EX,13,206051,1
SE,7,141826,3
EX,18,196522,1
MI,2,104082,2
EX,11,256314,1
EX,15,62614,1
MI,3,104089,2
SE,7,52607,3
SE,6,131333,3
EX,18,369918,1
EX,19,288629,1
EX,16,186990,1
SE,7,122223,3
SE,8,116177,3
EX,15,155331,1
EX,11,157720,1
EN,1,80697,0
EN,0,95727,0
EX,18,303364,1
SE,5,130193,3
MI,3,87100,2
EX,13,253609,1
MI,2,111947,2
SE,8,149929,3
MI,3,101866,2
MI,4,77165,2
SE,7,121396,3
SE,5,136213,3
SE,5,145362,3
EN,0,53624,0
MI,4,85771,2
EX,16,181719,1
MI,2,69580,2
SE,7,132740,3
SE,7,130258,3
SE,9,116709,3
MI,3,80310,2
EX,13,185837,1
EN,0,73290,0
MI,2,115082,2
EX,11,239030,1
MI,4,78991,2
EX,19,174805,1
SE,9,181104,3
SE,9,115681,3
EN,1,43208,0
MI,4,94668,2
EN,1,88758,0
SE,9,107851,3
EN,0,77521,0
EN,0,48915,0
EX,12,144329,1
MI,4,74868,2
SE,7,173810,3
SE,5,119626,3
EN,0,55331,0
MI,2,126364,2
EX,12,193012,1
SE,7,50277,3
EN,0,52691,0
MI,3,88745,2
EN,1,69741,0
SE,7,103812,3
EN,1,110207,0
EN,1,90086,0
MI,4,69149,2
EX,16,62098,1
EN,0,58340,0
EN,1,27753,0
MI,2,94238,2
SE,6,90515,3
EX,12,252088,1
EX,19,123498,1
SE,8,97399,3
MI,4,122301,2
MI,4,102239,2
EX,19,194401,1
EN,0,88107,0
SE,7,147607,3
EN,1,62399,0
EX,16,178097,1
SE,9,121196,3
EX,11,196124,1
EX,12,133436,1
EN,0,63143,0
SE,9,101308,3
EX,10,129700,1
MI,3,82759,2
EN,0,58384,0
SE,7,57840,3
EN,0,67529,0
MI,2,103319,2
EX,16,264281,1
EN,1,90375,0
EX,18,168030,1
SE,7,144693,3
EX,17,169169,1
MI,2,97205,2
SE,5,116462,3
EX,13,161251,1
SE,8,127524,3
MI,4,40391,2
SE,9,125657,3
EX,15,220521,1
EN,0,75300,0
MI,3,89549,2
EX,18,230750,1
MI,4,43742,2
EN,1,73505,0
MI,2,93032,2
EX,18,310945,1
MI,2,91705,2
EN,0,84567,0
EN,1,77592,0
SE,9,106660,3
MI,3,46462,2
SE,9,131368,3
MI,3,78787,2
EN,1,57111,0
EN,0,70529,0
SE,6,166422,3
SE,9,132627,3
EN,0,79266,0
EX,12,159779,1
SE,8,139290,3
EX,16,231125,1
MI,3,122595,2
EN,1,68427,0
EX,16,202722,1
SE,7,108147,3
SE,6,115437,3
MI,4,77217,2
EN,1,57529,0
MI,4,113427,2
EN,0,71693,0
SE,9,151134,3
EX,18,135496,1
EX,10,93530,1
EX,17,194766,1
EX,15,214036,1
EN,0,33244,0
SE,6,133388,3
EN,1,44185,0
SE,8,89882,3
EX,10,167159,1
SE,9,110919,3
SE,7,153715,3
SE,6,132249,3
EX,14,231132,1
EN,0,85300,0
EX,15,128111,1
EN,1,61852,0
EN,0,59300,0
SE,5,126739,3
EN,0,80800,0
MI,3,85451,2
EN,0,82153,0
MI,2,79663,2
SE,8,141209,3
EX,12,47558,1
MI,2,134887,2
EX,19,216990,1
EX,15,270223,1
SE,8,123617,3
SE,6,179200,3
SE,5,123515,3
MI,3,101862,2
EX,17,183450,1
EN,1,81041,0
EX,14,80467,1
MI,3,88669,2
MI,3,113313,2
EX,11,306192,1
EX,15,190624,1
EN,0,68152,0
EN,1,91590,0
EN,1,50730,0
EN,0,57915,0
MI,2,74536,2
SE,8,179315,3
EN,0,19776,0
EN,0,73489,0
EN,1,67007,0
EN,1,26216,0
MI,3,80593,2
EX,12,251940,1
EX,17,271778,1
SE,7,136680,3
MI,3,90736,2
EX,12,176612,1
SE,6,86142,3
MI,4,71454,2
EN,0,70698,0
EN,0,70125,0
EX,11,164581,1
SE,6,125674,3
EN,1,108470,0
EN,0,68849,0
SE,8,101825,3
EX,17,351728,1
SE,9,97819,3
SE,6,163331,3
MI,4,93720,2
MI,2,108820,2
EN,0,23491,0
SE,6,38464,3
SE,5,121725,3
MI,3,121877,2
EN,0,96000,0
SE,9,46573,3
EX,17,203167,1
SE,6,177459,3
MI,3,41556,2
EX,10,152796,1
EN,0,70161,0
EN,1,66092,0
EX,10,271475,1
EN,1,71751,0
EX,10,91975,1
SE,9,139317,3
EN,1,56279,0
EX,15,212031,1
EX,10,261631,1
MI,4,41755,2
EN,0,78608,0
SE,8,37889,3
EN,1,97397,0
EX,16,265023,1
SE,5,143323,3
SE,5,97000,3
EN,1,46374,0
EX,19,229381,1
SE,6,158873,3
EN,0,69868,0
EN,0,101000,0
EN,1,81849,0
SE,5,134380,3
SE,7,167829,3
EN,0,24678,0
EN,0,54248,0
SE,6,99288,3
EX,11,189688,1
MI,3,89528,2
MI,3,88720,2
EN,0,72059,0
EN,0,50803,0
EN,1,24223,0
MI,2,121910,2
MI,2,27869,2
SE,7,79781,3
MI,3,94380,2
EN,1,57159,0
EX,18,70183,1
EN,1,63741,0
SE,6,125484,3
SE,5,165739,3
EN,0,70983,0
MI,4,110016,2
EN,0,123436,0
MI,3,81729,2
EN,1,24353,0
EN,1,48696,0
EN,0,114364,0
EN,1,93835,0
SE,8,170109,3
EN,0,89443,0
EX,12,252682,1
SE,9,133737,3
EN,1,73390,0
EX,13,215737,1
MI,3,154884,2
MI,2,63606,2
MI,2,26739,2
SE,7,38550,3
MI,3,74739,2
MI,3,160816,2
EN,0,73482,0
EN,1,53504,0
EN,1,58640,0
SE,5,110169,3
EN,0,61539,0
EN,0,33132,0
EN,0,50597,0
SE,7,138723,3
EX,17,96580,1
EN,0,75245,0
EN,0,100596,0
EN,0,82608,0
MI,3,86868,2
EN,0,92090,0
MI,2,125783,2
EX,18,168390,1
SE,8,193710,3
MI,4,86414,2
SE,8,136589,3
MI,4,116556,2
SE,9,147616,3
EX,19,167103,1
EX,13,187756,1
EN,0,25560,0
MI,3,64206,2
MI,4,118221,2
MI,3,104839,2
MI,2,86714,2
MI,4,110353,2
EN,1,61142,0
SE,6,155690,3
EX,17,117303,1
EN,1,55265,0
EX,19,76310,1
EN,1,93083,0
SE,7,133350,3
MI,2,86337,2
MI,2,86313,2
SE,7,57198,3
EN,1,60582,0
EN,0,55380,0
SE,7,48341,3
EX,17,251565,1
EX,13,236217,1
SE,6,91231,3
EN,0,61130,0
EN,1,62398,0
EX,14,176242,1
EX,13,153418,1
MI,2,81657,2
EN,0,69844,0
MI,4,91682,2
MI,3,69595,2
EN,0,101742,0
MI,4,97961,2
MI,3,106022,2
MI,2,46651,2
SE,9,124553,3
SE,8,104780,3
SE,5,114730,3
SE,5,162856,3
SE,5,125641,3
EN,1,89881,0
EX,17,289064,1
EX,13,226888,1
EX,13,153723,1
EX,13,220723,1
MI,3,93378,2
SE,5,162034,3
SE,5,117365,3
MI,2,128624,2
SE,9,112504,3
MI,4,91750,2
EX,15,216192,1
SE,5,102086,3
SE,9,150372,3
MI,4,132314,2
MI,2,103230,2
SE,8,120695,3
EX,19,182121,1
EN,0,73616,0
EN,0,80112,0
MI,2,95409,2
SE,5,120427,3
SE,6,38463,3
MI,2,38200,2
EN,0,74370,0
MI,3,96885,2
EN,1,23564,0
SE,9,135679,3
MI,2,85715,2
SE,6,127789,3
SE,9,186154,3
EX,17,202606,1
EX,13,80486,1
EN,0,23519,0
EN,0,54022,0
MI,3,94661,2
EN,0,92817,0
EX,14,183387,1
MI,3,39823,2
EX,16,204455,1
SE,8,61232,3
SE,6,112367,3
EN,1,73735,0
EX,11,294725,1
EX,15,242630,1
SE,6,86849,3
SE,7,48264,3
EN,1,66226,0
EX,17,59484,1
MI,4,75033,2
EN,1,53070,0
MI,3,80312,2
EN,0,61589,0
EN,1,64464,0
MI,3,155127,2
EX,12,218691,1
SE,9,204587,3
SE,9,113415,3
SE,5,111108,3
EX,13,162371,1
EN,0,78542,0
MI,2,111272,2
SE,9,141413,3
MI,4,153448,2
SE,9,126522,3
MI,2,75216,2
EX,19,157426,1
EN,1,78696,0
EX,18,113402,1
EN,1,86790,0
EN,0,85140,0
EN,1,80679,0
EX,19,207222,1
MI,3,121677,2
EX,18,190049,1
EN,0,77584,0
EX,16,120788,1
SE,8,46291,3
EN,0,74298,0
SE,7,166410,3
EN,0,30796,0
EN,1,60780,0
EN,1,59678,0
EX,17,253960,1
EN,1,87660,0
EX,13,210655,1
SE,9,144360,3
EN,0,57145,0
EX,18,196565,1
EN,0,78696,0
SE,8,69517,3
MI,3,80960,2
MI,2,111422,2
SE,9,112063,3
EX,10,206889,1
EN,0,58383,0
SE,7,176960,3
